zipCode,zone,trange,zonetitle,lastSpringFrost,firstFallFrost
50457,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50458,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50459,4b,-25 to -20,4b: -25 to -20,2000-04-05,2000-10-02
50460,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50461,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50464,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50465,4b,-25 to -20,4b: -25 to -20,2000-04-05,2000-10-02
50466,4b,-25 to -20,4b: -25 to -20,2000-04-05,2000-10-02
50467,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50468,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50469,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50470,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50471,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50472,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50473,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50475,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50476,4b,-25 to -20,4b: -25 to -20,2000-04-05,2000-10-02
50477,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50478,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50479,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50480,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50481,4b,-25 to -20,4b: -25 to -20,2000-04-05,2000-10-02
50482,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50483,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50484,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50501,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50510,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50511,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50514,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50515,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50516,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50517,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50518,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50519,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50520,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50521,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50522,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50523,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50524,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50525,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50526,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50527,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50528,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50529,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50530,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50531,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50532,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50533,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50535,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50536,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50538,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50539,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50540,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50541,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50542,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50543,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50544,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50545,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50546,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50548,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50551,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50552,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50554,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50556,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50557,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50558,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50559,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50560,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50561,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50562,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50563,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50565,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50566,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50567,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50568,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50569,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50570,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50571,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50573,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50574,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50575,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50576,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50577,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50578,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
